Invoice ID,Date,Branch,Customer Type,Gender,Product Category,Product Name,Quantity,Unit Price,Revenue,Cost,Profit
INV0001,3/13/2025,Nagpur,Member,Female,Beverages,Tea,12,331,3972,2675.01,1296.99
INV0002,11/5/2025,Nagpur,Member,Female,Beverages,Tea,2,273,546,365.71,180.29
INV0003,1/4/2025,Pune,Normal,Female,Snacks,Namkeen,10,334,3340,2815.05,524.95
INV0004,2/17/2025,Nashik,Member,Female,Dairy,Cheese,4,831,3324,2330.05,993.95
INV0005,10/2/2025,Nagpur,Normal,Male,Dairy,Butter,13,94,1222,1000.72,221.28
INV0006,7/5/2025,Pune,Member,Male,Household,Tissue,14,693,9702,7621.46,2080.54
INV0007,2/21/2025,Nashik,Normal,Female,Snacks,Cookies,2,925,1850,1239.2,610.8
INV0008,5/17/2025,Nagpur,Member,Male,Dairy,Cheese,6,413,2478,1642.55,835.45
INV0009,11/24/2025,Pune,Normal,Male,Snacks,Namkeen,7,326,2282,2046.63,235.37
INV0010,2/3/2025,Pune,Normal,Male,Snacks,Chips,13,373,4849,3492.97,1356.03
INV0011,3/15/2025,Mumbai,Member,Male,Personal Care,Face Wash,15,986,14790,11726.33,3063.67
INV0012,10/26/2025,Nashik,Normal,Male,Household,Tissue,12,648,7776,5665.05,2110.95
INV0013,2/26/2025,Pune,Member,Female,Snacks,Namkeen,2,823,1646,1010.87,635.13
INV0014,8/28/2025,Mumbai,Member,Male,Household,Detergent,7,440,3080,2398.6,681.4
INV0015,5/31/2025,Nashik,Member,Female,Household,Tissue,13,706,9178,6443.44,2734.56
INV0016,2/24/2025,Mumbai,Member,Male,Beverages,Juice,9,830,7470,4882.36,2587.64
INV0017,1/1/2025,Mumbai,Normal,Male,Dairy,Cheese,9,847,7623,6683.31,939.69
INV0018,5/3/2025,Nagpur,Member,Male,Beverages,Juice,15,901,13515,11380.07,2134.93
INV0019,9/30/2025,Pune,Member,Female,Beverages,Soft Drink,14,120,1680,1500.9,179.1
INV0020,8/5/2025,Pune,Member,Female,Household,Cleaner,5,590,2950,2542.1,407.9
INV0021,3/3/2025,Pune,Member,Male,Personal Care,Toothpaste,8,971,7768,5866.96,1901.04
INV0022,4/23/2025,Nagpur,Member,Male,Dairy,Milk,10,617,6170,4127.94,2042.06
INV0023,2/6/2025,Pune,Normal,Female,Snacks,Chips,15,82,1230,1055.21,174.79
INV0024,8/31/2025,Pune,Normal,Female,Snacks,Biscuits,12,953,11436,8820.73,2615.27
INV0025,8/5/2025,Nashik,Normal,Male,Snacks,Chips,2,724,1448,1056.05,391.95
INV0026,2/25/2025,Pune,Member,Male,Beverages,Tea,7,795,5565,3905.47,1659.53
INV0027,8/25/2025,Pune,Member,Female,Household,Mop,3,482,1446,947.2,498.8
INV0028,1/8/2025,Nagpur,Member,Male,Household,Detergent,1,717,717,645.15,71.85
INV0029,1/31/2025,Pune,Normal,Male,Personal Care,Face Wash,8,268,2144,1842.54,301.46
INV0030,5/27/2025,Nashik,Normal,Male,Personal Care,Toothpaste,15,852,12780,10678.19,2101.81
INV0031,10/5/2025,Nagpur,Normal,Male,Snacks,Cookies,4,109,436,337.36,98.64
INV0032,3/22/2025,Nagpur,Member,Male,Beverages,Soft Drink,9,991,8919,7633.02,1285.98
INV0033,3/3/2025,Pune,Member,Male,Beverages,Tea,11,932,10252,6874.59,3377.41
INV0034,6/10/2025,Pune,Normal,Female,Personal Care,Toothpaste,15,317,4755,3144.38,1610.62
INV0035,2/7/2025,Nagpur,Normal,Male,Snacks,Cookies,8,373,2984,2622.06,361.94
INV0036,6/28/2025,Nagpur,Member,Female,Beverages,Coffee,9,321,2889,1848.2,1040.8
INV0037,6/4/2025,Nagpur,Normal,Male,Dairy,Cheese,8,903,7224,5511.66,1712.34
INV0038,10/11/2025,Pune,Normal,Female,Snacks,Cookies,2,961,1922,1214.92,707.08
INV0039,11/21/2025,Mumbai,Normal,Female,Household,Cleaner,12,401,4812,3181.11,1630.89
INV0040,1/23/2025,Nagpur,Normal,Male,Beverages,Tea,11,483,5313,4509.7,803.3
INV0041,8/7/2025,Nagpur,Member,Male,Dairy,Cheese,12,502,6024,4611.4,1412.6
INV0042,3/17/2025,Nashik,Member,Male,Snacks,Chips,14,428,5992,4642.32,1349.68
INV0043,1/21/2025,Mumbai,Member,Male,Dairy,Butter,15,865,12975,11569.27,1405.73
INV0044,7/28/2025,Pune,Member,Male,Beverages,Juice,13,623,8099,7007.58,1091.42
INV0045,6/20/2025,Nashik,Member,Female,Snacks,Namkeen,1,233,233,191.29,41.71
INV0046,8/29/2025,Pune,Member,Female,Snacks,Chips,7,943,6601,4037.29,2563.71
